"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6009130222043","20.1133268699863","12.2161903714725","2.09291010616282","3.83127360302673","0.275949465299433","0.989467955083654","2.28442986452826","-2.07950497732082","-2.3119303489744","4.22698116566202","-0.141877040803124","-0.72746076613582","5.42760906762929","-5.10718864860483","-5.40587890067506","-0.152950639075172","6.03174361973116","-0.0949589566665736","0.24588167122981","1.41000942216884","-0.224763908389733","-10.6052986832907","-3.8877600461179","3.06388237087862","-1.86416771739363","3.59319794754416","0.25056693031469","-0.991547779040417","-0.716487134265762","0.855431101992977","","",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86836190347819","-2.87518352770836","7.20793301758569","2.25335741303414","11.0227739357486","1.59421129024307","18.5153687132188","11.264133238155","-2.68108084876349","8.97487956759646","1.97416862890181","-0.665270517698119","-1.6228866716696","-0.541697283221524","0.0820789288754185","-1.35017833585495","",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-7.70994712206387","-3.49051429975594","0.548367120567761","2.28844087755759","-0.107675791108804","-0.670689621430824","0.488389654434116","2.49666766257133","-3.33590357797753","-6.65753217768963","-2.31085975236481","-8.87696719130457","-26.411770425863","-1.87781638971884","11.3594812001891","9.95281738190118","3.87785042949145","1.36472378581571","-1.08527954316024","-0.26794453749595","0.822113704013972","9.94376401877865","-0.4318505625521","7.18703552678508","11.0308358027993","7.58232901027749","9.89001150552824","7.11687315081085","-2.80863445702062","1.0791689367887","-0.220846531029494","4.70645928027089","1.29208564355177","1.21983278506757","-2.46871516936926","-5.81623671756851","-3.40990331461406","-5.28777959390334","",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864854696172","0.795840071464539","-1.01680217240636","-3.30749720294656","-0.290595347809159","3.61465554380214","-2.74949637957361","-3.26252233364251","6.9236172837285","-11.1879052985212","-27.5668208371351","-6.62255121373251","10.2299493626078","8.96976165264667","14.0244959282552","9.78017988648612","-10.3611049779492","9.51715258016593","13.6071564539776","7.63386640301194","9.31112396132059","4.85392213495177","5.9256301532766","5.95188082344076","6.0713909118125","6.57033160600662","6.78392659121043","8.32803599940446","4.04888935887541","4.2230368755483","2.82155873717815","1.58515488775825","1.1872054685296","1.98542608911822","2.51685221249549","3.48011700478818","3.91661197075454","4.40251487024605","",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-0.603684764691963","2.78890725216741","2.67240932351494","1.01049023194102","-3.33802602029948","-0.181175650466429","-0.280692814867152","-1.44221540552351","-3.06444898925623","-1.33076003498745","-3.94874555214277","-2.93137260946317","-2.59533589819418","-2.59835172795273","-2.02378656786776","-1.00182403610582","1.32567293379257","0.970487690399651","0.801682524889074","-0.14261468196311","-1.36612958050661","-2.87054457996793","-4.41262289346227","-0.403571697636579","0.869722420740217","3.82047713638481","9.12362433712761","3.49242735453457","3.73035953120058","1.91345185341861","1.5178447071707","2.3549886357867","7.3666565461149","3.32467350857601","3.82511760495885","1.79235935758382","-2.00594291107483","-9.87402963326682","-4.37594668222904","-5.3431361112859","-3.84725320509853","-0.0396675503243245","2.4052918336043","4.2932041332308","2.39598860802923","2.83028426104667","2.11506015294789","1.6227466770119","",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","12.2826790156648","4.8204571664876","-3.85081857603528","7.95527271755681","5.68708216930278","-0.283039587953027","-11.8562904987515","-9.64644776914368","-1.64196550453126","-5.15352265044359","1.68783627858863","-3.3093217581054","2.6706995718329","-0.428448969874665","9.09613768208106","-1.17640778571025","3.08660831597945","0.557171215617799","0.596321514347053","-0.358829094598548","2.21392788343771","1.96462869615237","3.02761090607913","-0.347261861955872","3.25517371209921","-0.559743945479013","-1.5438731833227","3.06736291923424","6.91449359936847","3.36344801122637","4.02475828790858","2.09252925988399","3.2877986691751","-1.95894103361942","2.33011868340911","1.27008492854822","4.27915919991861","0.923670101072887","0.273518618921202","1.18805741615304","1.32674928421569","-1.09524169198279","0.127618283971387","",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","0.156119320394012","5.35044874349101","-13.3874304778413","8.43329340244081","13.2115534517906","-2.69925264971185","-12.1806286389399","-9.68144677701444","-1.2492861493968","-8.68888974797733","-19.6745445052809","-2.49356343491374","-8.21674673584535","5.91828003962591","11.6783978861004","-4.80060100968629","-2.481442037619","-4.34197372850511","1.24725770301974","1.3556788293001","0.630164735604779","2.83482887723379","-4.76507560132538","-2.39965285087459","4.9095039238249","-3.77897143889183","-2.75061493068955","1.96652820534192","-0.037811250770531","-7.02058381682087","-4.91664301630516","-11.3455042903779","-10.2087752033669","-15.1512555806894","-5.91481032440899","2.18792077509458","2.25792624286404","4.41015904513891","4.10021947110084","4.55305540522957","1.98113939541591","-0.846125273560844","0.207936371159946","",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.72878831950834","-2.42590802934959","-6.78817817754361","8.43723374065331","8.89676981490285","-2.13646867084347","1.67846614591258","3.28692856462828","8.05028380596933","1.47949852690094","4.00746511768637","0.00581141412814645","1.15692095388221","3.85178245373952","-1.58784478536853","-3.50638721414485","5.34298609554963","-5.91641878440657","8.57775376919905","-0.0296320549168314","-6.66851449554107","-2.30775590527286","2.68198172175644","-0.0518399787976591","-6.6925877848595","4.48430957214457","1.10605155538015","-2.60325448914919","-8.54082459769428","-3.87410316538033","7.6143428188072","6.48760632394378","6.80292086144149","4.50547229943265","-4.03215595317569","4.27459836967437","6.86475427079152","2.68095412136933","-4.45515726428921","-1.87491241541325","-5.44709154527357","-11.8547768361233","7.6765455385672","7.88493756497286","7.72947520461582","6.95554738176538","7.92423813871991","3.02947731150856","-6.85422733296183","9.30012832232192","4.78868313859434","-2.14528444981811","1.26568517537076","-3.57858050983292","1.62966427946265","-3.11006389821465","1.60928234377617","-3.46737624314432","",
"Armenia","ARM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.8708960479915","-40.7444525866326","-6.63846818137321","7.94992079244601","9.10352162624667","7.50696854011248","4.47964116012263","8.14226381315251","3.95761736439184","6.57036387036523","10.2355242402885","13.8096504346294","14.6471369467664","11.1014806140427","14.6086170262743","14.0766319216727","14.7456165090791","7.81913724774226","-13.5695683058369","2.58264808068078","4.72842677431717","6.91414364480887","2.82388903997261","3.07285853012422","2.73612872403588","-0.16150062037417","7.18375792957016","4.95169918007964","",
"American Samoa","ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0957531149405924","0.240184563135969","-0.202616988891734","-3.42895088568189","3.25980682816665","-1.13469288616291","-2.8705285445641","1.52429560889686","0.869269598167648","-4.23437728864654","-2.83679849163521","0.803753378222467","1.36590155070407","-2.64538324917581","-5.64961891041834","2.47043521275813","",
