"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295733176333.437","307499300763.633","318223181086.798","338002250349.902","358250915708.653","377603546320.219","402330256116.179","424683432488.924","452744851839.05","478153359805.698","504273087064.197","530687021062.163","564353642750.787","590772135699.982","630538657738.468","664362022420.762","710075658834.739","761465504675.622","795980320105.904","874182196067.604","866384665680.351","937507114248.881","973601321979.203","1061628486313.88","1100545339758.17","1102112573342.41","1144372144175.76","1220961080211.4","1291189884232.08","",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149275155516.776","159634580985.146","166690625207.308","171538857189.149","179410467643.814","188059505212.909","195228382095.631","202580031580.043","212777732022.22","220639956878.73","235380338183.681","238978523638.302","251984858807.042","260767786871.326","275747014094.09","288086851811.747","311091706759.529","326780308348.043","343812802543","341463207034.964","351313540506.591","373031463577.163","391635006784.261","406370494341.228","417059741085.658","431091486465.673","452642519800.751","474514901322.07","490609688001.231","",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40834005195.5159","41919407025.3345","33185026994.5443","26123909397.0361","21425448112.2205","19293488640.4576","19902166122.8638","21419588023.3393","23826737101.8137","25959383624.4559","29485605459.6188","33115452911.2867","36814442589.2933","41326042612.0547","46365813601.6181","61178516230.4337","84753921779.0535","109191450387.595","123105265351.094","135666041715.539","143819415016.055","144514131462.76","150530308332.095","162121327243.258","169809286511.629","173428480671.473","169952657553.574","172694683818.141","179400834646.209","",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3626173850.27277","3936123704.38137","4066485117.72284","3903070858.86149","3833736463.73334","3604124871.35219","3376508108.86779","3380120069.39656","3580526801.79212","3595537122.33475","3644416844.96732","3800919950.26909","4032723455.62055","4057348936.56767","4367979660.94129","4544576066.34103","4935584332.44039","5243118638.77109","5604967829.68145","5863029707.0435","6235280685.7791","6622226209.07379","7049349096.60693","7526274676.94639","7993864921.81899","7764251880.9466","7802059443.64199","7990111828.16174","8316515955.51342","",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185982516441.883","195796536815.087","203323854679.402","206138999368.923","217334947043.125","227183693734.046","230714428756.307","241598810664.775","248632235088.402","260168701709.78","284866148364.036","296254550263.601","312900377877.018","320608060345.417","333829357938.493","347658412088.972","371526559770.195","390554577454.784","405729462246.522","407646231770.665","434046344958.817","451932718764.387","469720618339.766","487343797679.386","503619406808.679","521017424704.67","542270754793.057","571270293272.584","587185652753.001","",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4725432531.04418","5091675350.79006","5361738968.50122","5809107864.60527","6053027795.37137","6553539802.9633","6962119839.21698","7488314621.6567","7872548624.35802","8412792261.35299","9104867683.53254","9800548296.39964","10417953196.5231","10976886724.6023","11771733647.4597","12346174782.1904","13221847366.7015","14389813650.4556","15387048652.8314","15865494870.653","16389062381.101","17227124154.8024","18403168244.2138","20072483845.927","21751324915.2846","22444661751.0828","23589730505.4796","25441421705.7344","27848437265.8723","",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4827699204.37777","5443639510.34562","5580651692.9258","5910617497.11435","6116216340.67896","6601419932.7907","7462737430.91477","8070961929.79439","8758243881.24246","9542534476.49637","9933435559.55686","10822665275.3838","11472417139.3242","12597222687.3471","13515718505.6744","15143905205.9445","16577820504.116","17985806825.8036","19673148440.2095","20410290546.0666","21757622183.306","23684085089.3575","25695882513.9984","27661401713.6154","29404232590.3455","30876071961.9275","33057199152.166","35824547365.1106","39204511840.0129","",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88749600890.2447","94948623286.0493","102397938819.934","109762882002.117","116467828998.88","124999672499.45","133045609059.016","141416454197.046","150411694360.978","159709224281.95","171922347376.117","184613791969.536","194722353165.26","207738921077.4","224509277787.072","246633495622.82","271050249008.891","297977713990.377","322042089165.293","340868464523.239","364054263428.504","395684471605.039","429572295869.381","463397075798.474","500782187753.698","539302677649.841","583982840522.015","638430000418.941","705409067990.49","",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65327943280.0464","61833420386.3035","58643304016.8405","59144114905.4001","61505273006.9897","64590988897.7715","56694173468.142","47351900363.8152","50706678031.1963","47352047384.3597","52108029153.0731","55334810117.7224","60553048408.1745","64870632794.9349","70399752807.375","78207906676.2954","85994548638.0222","96586488489.6612","107360830580.201","105309886462.34","110446857165.539","115193369520.725","118415443134.437","120390429621.992","126666719594.031","130542441643.186","138994877282.151","148228312438.607","154254381915.75","",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11300309043.5327","12994397763.7544","14179664301.5854","16383781590.4499","16691803037.5326","17711543359.8789","18777121604.6175","19691703798.5253","20867187391.2825","22078712484.0843","23768622916.7005","24895020461.3362","26135608989.9746","28297146195.0615","31087560319.1869","34225784434.3877","37541889690.5083","41747721939.5371","45216281391.6531","46718471487.9876","49312543170.9866","51341188465.1221","54276651870.7904","58220833657.5341","61903003409.2235","64356222356.6764","67319842990.5374","71208638547.9082","74239249144.6626","",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5155296042.97997","5106761670.6624","5023324584.73962","5158169673.06228","5434210961.23189","5791097245.02096","6146201271.6719","6381120871.27789","6757293537.71264","7344574321.4474","7820317117.47509","8201690664.67927","8556750414.28562","8605428686.08596","8915122572.82037","9504952548.02454","10039056626.1942","10457854116.3172","10413508689.8669","10054790337.4352","10328477564.1327","10608854836.1335","11146079804.5402","11006866755.8109","11297708532.212","11486754003.2319","11664185332.384","11893819215.6442","12374311871.2356","",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3751129099.96785","4626379030.04097","8901964625.10379","12169606680.0507","14226403824.2625","15817258391.8603","17060245929.4643","17842878263.3018","19310167688.6884","20214692237.1103","23340339277.179","24398065391.9858","27888038434.1519","30811911213.4218","33896807462.0589","33737254855.2883","34637208990.7248","36525637926.8929","37145690831.4945","39027401491.461","39811454001.4135","41200283032.31","43425610368.236","46033486453.8125","48608054272.2858","",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55319352228.34","56503838683.6617","52243523689.0142","49416737946.7634","44566749717.7072","40769110154.0706","42678044012.1072","48363176501.7313","53015740909.4511","55609743794.7934","60150354694.5011","64374339605.6703","68691820127.8635","74895437858.0486","85717983363.9621","96696527087.2961","109585032908.332","122206275992.048","137290849970.657","138614155233.177","151164816889.207","162623060502.26","168538216172.504","173216831419.12","179540869626.202","174511606528.38","171962780145.509","179668590896.36","189658434681.797","",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","611831357.374154","705034551.347801","808062501.398433","879120777.822325","899315269.445966","924087612.029133","954447513.211485","1005321342.92997","1054665215.91875","1163818367.0433","1344746747.05493","1443169075.23901","1541053930.10824","1716091080.69965","1844204758.42996","1950675395.2095","2101783560.06613","2182104566.3896","2296376863.70057","2329404855.72364","2436281402.08092","2540960748.74954","2665772853.6735","2735664115.96055","2890341804.46948","3021505267.53419","3036584741.78455","3138777544.10638","3312832024.54119","",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1561225623.59578","1556976717.7463","1591507501.02862","1678230799.60587","1724345156.79307","1837948840.86781","1920272819.32788","2043241580.56732","2146821990.63953","2251485808.44437","2516281086.89769","2757196886.07125","2759419117.59588","2906527654.4496","3054062184.89733","3201918499.87992","3481696993.16741","3676972060.75214","3805767023.37486","3632143704.08663","3597519761.81848","3550019929.12843","3443185262.135","3415629198.18983","","","","","","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16494243220.359","17950088503.9764","18661437491.8961","19919167153.9133","21294050432.9229","22757632965.8775","24185044376.4873","25820927971.4169","27424789530.7194","27939513459.6707","29280426643.3194","30426509155.8873","31676017446.8038","33139065567.3446","35451463293.2392","38172044836.6795","41213738856.9349","44252540609.8005","47887101477.2096","49871994702.8591","52535187414.8343","56423688731.6456","60451415413.9018","65692669035.9267","70590561008.6963","74810796245.1716","78853625516.6899","83723411342.9057","89385174346.499","",
